,Date,Level (m),Dimension (m)
1,1995-05-15,197.75,-6.85
2,1997-12-11,197.64,-6.74
3,1998-01-19,196.08,-5.18
4,1998-02-20,194.83,-3.93
5,1998-03-18,195.71,-4.81
6,1998-04-16,197.07,-6.17
7,1998-06-15,199.37,-8.47
8,1998-08-14,200.81,-9.91
9,1998-09-11,201.76,-10.86
10,1998-10-16,202.72,-11.82
11,1998-11-11,203.44,-12.54
12,1998-12-17,203.65,-12.75
13,1999-01-16,203.57,-12.67
14,1999-02-19,203.16,-12.26
15,1999-03-12,203.09,-12.19
16,1999-04-23,204.07,-13.17
17,1999-05-21,205.38,-14.48
18,1999-06-11,205.62,-14.72
19,1999-07-16,205.79,-14.89
20,1999-09-17,206.56,-15.66
21,1999-10-15,207.08,-16.18
22,1999-11-22,205.95,-15.05
23,1999-12-20,206.7,-15.8
24,2000-01-28,207.69,-16.79
25,2000-02-22,207.2,-16.3
26,2000-03-27,206.0,-15.1
27,2000-04-24,206.19,-15.29
28,2000-05-26,206.17,-15.27
29,2000-06-30,206.77,-15.87
30,2000-07-24,206.89,-15.99
31,2000-09-29,206.91,-16.01
32,2000-10-27,206.52,-15.62
33,2000-11-24,206.39,-15.49
34,2000-12-20,206.58,-15.68
35,2001-01-26,205.8,-14.9
36,2001-02-23,204.05,-13.15
37,2001-03-28,204.01,-13.11
38,2001-04-27,205.55,-14.65
39,2001-05-25,205.31,-14.41
40,2001-06-21,206.93,-16.03
41,2001-07-19,207.05,-16.15
42,2001-08-14,207.21,-16.31
43,2001-10-31,207.39,-16.49
44,2001-11-30,207.48,-16.58
45,2001-12-21,207.34,-16.44
46,2002-01-22,207.42,-16.52
47,2002-02-27,206.94,-16.04
48,2002-03-26,206.83,-15.93
49,2002-04-17,206.67,-15.77
50,2002-05-07,206.7,-15.8
51,2002-06-26,206.74,-15.84
52,2002-07-24,207.41,-16.51
53,2002-08-09,207.56,-16.66
54,2002-09-26,208.57,-17.67
55,2002-10-30,209.29,-18.39
56,2002-11-28,208.64,-17.74
57,2002-12-16,207.44,-16.54
58,2003-01-29,207.4,-16.5
59,2003-02-26,207.21,-16.31
60,2003-03-26,206.65,-15.75
61,2003-04-30,205.95,-15.05
62,2003-05-28,206.62,-15.72
63,2003-06-27,207.04,-16.14
64,2003-07-23,207.48,-16.58
65,2003-08-11,207.79,-16.89
66,2003-09-26,207.99,-17.09
67,2003-10-24,209.13,-18.23
68,2003-11-26,207.82,-16.92
69,2003-12-15,206.18,-15.28
70,2004-01-28,205.36,-14.46
71,2004-02-25,205.84,-14.94
72,2004-03-26,205.33,-14.43
73,2004-04-28,204.84,-13.94
74,2004-05-26,203.97,-13.07
75,2004-06-24,204.63,-13.73
76,2004-07-22,204.6,-13.7
77,2004-08-23,205.88,-14.98
78,2004-09-24,207.17,-16.27
79,2004-10-22,207.74,-16.84
80,2004-11-24,208.34,-17.44
81,2004-12-22,207.22,-16.32
82,2005-01-26,207.15,-16.25
83,2005-02-23,206.78,-15.88
84,2005-03-23,205.85,-14.95
85,2005-04-20,205.53,-14.63
86,2005-05-20,206.67,-15.77
87,2005-06-20,208.04,-17.14
88,2005-07-20,208.55,-17.65
89,2005-08-11,209.0,-18.1
90,2005-09-22,210.0,-19.1
91,2005-10-20,210.45,-19.55
92,2005-11-24,210.37,-19.47
93,2005-12-25,209.4,-18.5
94,2006-01-27,208.44,-17.54
95,2006-02-22,208.19,-17.29
96,2006-03-23,207.38,-16.48
97,2006-04-26,208.41,-17.51
98,2006-05-26,208.77,-17.87
99,2006-06-21,209.11,-18.21
100,2006-07-21,209.79,-18.89
101,2006-10-23,210.89,-19.99
102,2006-11-29,209.54,-18.64
103,2006-12-21,208.56,-17.66
104,2007-01-29,207.2,-16.3
105,2007-02-20,206.33,-15.43
106,2007-03-28,207.0,-16.1
107,2007-04-26,207.02,-16.12
108,2007-05-24,207.03,-16.13
109,2007-06-28,208.07,-17.17
110,2007-07-26,208.05,-17.15
111,2007-09-28,209.29,-18.39
112,2007-10-26,209.19,-18.29
113,2007-11-28,209.24,-18.34
114,2008-01-25,207.26,-16.36
115,2008-02-22,207.28,-16.38
116,2008-03-25,206.81,-15.91
117,2008-04-24,207.78,-16.88
118,2008-07-24,208.5,-17.6
119,2008-10-22,209.19,-18.29
120,2008-11-20,208.24,-17.34
121,2009-02-25,203.89,-12.99
122,2009-03-17,203.64,-12.74
123,2009-04-06,203.28,-12.38
124,2009-05-20,203.68,-12.78
125,2009-06-16,204.7,-13.8
126,2009-07-14,205.44,-14.54
127,2009-08-01,206.05,-15.15
128,2009-09-10,208.8,-17.9
129,2009-10-15,208.16,-17.26
130,2018-01-29,209.23,-18.33
131,2018-02-26,208.7,-17.8
132,2018-03-26,205.9,-15.0
133,2018-04-26,204.93,-14.03
134,2018-05-24,204.5,-13.6
135,2018-06-26,204.8,-13.9
136,2018-07-24,204.84,-13.94
137,2018-09-26,206.0,-15.1
138,2018-10-25,206.48,-15.58
139,2018-11-28,206.37,-15.47
140,2019-01-28,205.58,-14.68
141,2019-02-25,205.73,-14.83
142,2019-03-26,205.8,-14.9
143,2019-05-29,205.84,-14.94
144,2019-06-26,206.4,-15.5
145,2019-09-19,206.29,-15.39
146,2019-10-11,207.41,-16.51
147,2019-11-21,207.36,-16.46
148,2019-12-18,206.61,-15.71
