,Date,Level (m),Dimension (m)
1,2001-11-30,0.06,6.83
2,2001-12-21,0.03,6.86
3,2002-01-18,0.0,6.89
4,2002-02-08,0.0,6.89
5,2002-03-12,0.0,6.89
6,2002-04-08,0.0,6.89
7,2002-05-03,0.0,6.89
8,2002-06-10,0.0,6.89
9,2002-07-08,0.0,6.89
10,2002-08-07,0.02,6.87
11,2002-09-07,0.19,6.7
12,2002-10-10,0.34,6.55
13,2002-11-11,0.46,6.42
14,2002-12-10,0.17,6.72
15,2003-01-13,0.0,6.89
16,2003-02-10,0.0,6.89
17,2003-03-12,0.0,6.89
18,2003-04-09,0.0,6.89
19,2003-05-14,0.0,6.89
20,2003-06-11,0.0,6.89
21,2003-07-11,0.03,6.86
22,2003-08-11,0.11,6.78
23,2003-09-10,0.37,6.52
24,2003-10-08,0.43,6.45
25,2003-11-12,0.26,6.63
26,2003-12-11,0.12,6.77
27,2004-01-17,0.0,6.89
28,2004-02-13,0.0,6.89
29,2004-03-09,0.0,6.89
30,2004-04-07,0.0,6.89
31,2004-05-19,0.0,6.89
32,2004-06-11,0.0,6.89
33,2004-07-12,0.0,6.89
34,2004-08-10,0.0,6.89
35,2004-09-13,0.0,6.89
36,2004-10-13,0.0,6.89
37,2004-11-11,0.0,6.89
38,2004-12-08,0.0,6.89
39,2005-01-13,0.0,6.89
40,2005-02-09,0.0,6.89
41,2005-03-09,0.0,6.89
42,2005-04-12,0.0,6.89
43,2005-05-10,0.0,6.89
44,2005-06-09,0.0,6.89
45,2005-07-09,0.0,6.89
46,2005-08-11,0.0,6.89
47,2005-09-12,0.04,6.85
48,2005-10-12,0.13,6.76
49,2005-11-09,0.16,6.73
50,2005-12-14,0.13,6.76
51,2006-01-18,0.06,6.83
52,2006-02-10,0.0,6.89
53,2006-03-10,0.0,6.89
54,2006-04-11,0.0,6.89
55,2006-05-07,0.0,6.89
56,2006-06-08,0.0,6.89
57,2006-07-12,0.0,6.89
58,2006-08-09,0.04,6.85
59,2006-09-08,0.14,6.75
60,2006-10-11,0.26,6.63
61,2006-11-14,-0.06,6.95
62,2006-12-14,0.15,6.73
63,2007-01-12,0.09,6.8
64,2007-02-13,0.0,6.89
65,2007-03-08,0.0,6.89
66,2007-04-11,0.0,6.89
67,2007-05-04,0.0,6.89
68,2007-06-11,0.03,6.86
69,2007-07-10,0.24,6.65
70,2007-08-07,0.29,6.6
71,2007-09-11,0.33,6.55
72,2007-10-04,0.39,6.5
73,2007-11-13,0.31,6.58
74,2007-12-12,0.27,6.61
75,2008-01-04,0.21,6.68
76,2008-02-12,0.21,6.68
77,2008-03-12,0.0,6.89
78,2008-04-12,0.02,6.87
79,2008-05-10,0.04,6.85
80,2008-06-10,0.0,6.89
81,2008-07-10,0.08,6.81
82,2008-08-07,0.13,6.76
83,2008-09-10,0.17,6.72
84,2008-10-07,0.21,6.68
85,2008-11-09,0.06,6.83
86,2008-12-09,0.0,6.89
87,2009-03-09,0.0,6.89
88,2009-04-07,0.0,6.89
89,2009-05-21,0.0,6.89
90,2009-06-17,0.0,6.89
91,2009-07-15,0.0,6.89
92,2009-08-17,0.0,6.89
93,2009-09-11,0.0,6.89
94,2009-10-20,0.0,6.89
95,2009-11-19,0.0,6.89
96,2009-12-16,0.0,6.89
97,2010-01-18,0.0,6.89
98,2010-02-11,0.0,6.89
99,2010-03-16,0.0,6.89
100,2010-04-16,0.0,6.89
101,2010-05-17,0.0,6.89
102,2010-06-15,0.0,6.89
103,2010-07-15,0.0,6.89
104,2010-08-13,0.0,6.89
105,2010-09-16,0.0,6.89
106,2010-10-18,0.0,6.89
107,2010-11-15,0.0,6.89
108,2010-12-17,0.0,6.89
109,2011-01-17,0.0,6.89
110,2011-02-14,0.0,6.89
111,2011-03-14,0.0,6.89
112,2011-04-14,0.0,6.89
113,2011-05-16,0.0,6.89
114,2011-06-15,0.0,6.89
115,2011-07-14,0.0,6.89
116,2011-08-16,0.0,6.89
117,2011-09-15,0.0,6.89
118,2011-10-18,0.0,6.89
119,2011-11-15,0.0,6.89
120,2011-12-16,0.0,6.89
121,2012-01-17,0.0,6.89
122,2012-02-15,0.0,6.89
123,2012-03-15,0.0,6.89
124,2012-04-17,0.0,6.89
125,2013-02-27,0.0,6.89
126,2013-03-21,0.0,6.89
127,2013-04-25,0.0,6.89
128,2013-05-28,0.0,6.89
129,2013-06-25,0.0,6.89
130,2013-07-23,0.0,6.89
