Piezómetros,,,,,,,,,,,,,,,,,
Cod. Piezómetro,Profundidad obra (m),Provincia,Municipio,Fecha Nivel,Nº Medidas,Nombre,Demarcación Hidrográfica,Masa de agua subterránea sobre la que se sitúa el piezómetro,Unidad Hidrogeológica,Cota terreno (msnm),Profundidad (m),Coordenada X (ETRS89),Coordenada Y (ETRS89),Descripción,Fecha,Nivel,Cota
06.13.002,101,Almería,Fondón,12-02-2007,89,La Granadina,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Sierra de Gador,785,101,513.844,4.093.381,La Granadina,12-02-2007,"23,39","761,88"
06.13.002,101,Almería,Fondón,12-02-2007,89,La Granadina,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Sierra de Gador,785,101,513.844,4.093.381,La Granadina,04-03-2007,"32,30","752,97"
06.13.002,101,Almería,Fondón,12-02-2007,89,La Granadina,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Sierra de Gador,785,101,513.844,4.093.381,La Granadina,03-04-2007,"23,59","761,68"
06.13.002,101,Almería,Fondón,12-02-2007,89,La Granadina,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Sierra de Gador,785,101,513.844,4.093.381,La Granadina,02-05-2007,"23,49","761,78"
06.13.002,101,Almería,Fondón,12-02-2007,89,La Granadina,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Sierra de Gador,785,101,513.844,4.093.381,La Granadina,09-06-2007,"29,12","756,15"
06.13.002,101,Almería,Fondón,12-02-2007,89,La Granadina,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Sierra de Gador,785,101,513.844,4.093.381,La Granadina,09-07-2007,"29,83","755,44"
06.13.002,101,Almería,Fondón,12-02-2007,89,La Granadina,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Sierra de Gador,785,101,513.844,4.093.381,La Granadina,06-08-2007,"30,50","754,77"
06.13.002,101,Almería,Fondón,12-02-2007,89,La Granadina,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Sierra de Gador,785,101,513.844,4.093.381,La Granadina,10-09-2007,"31,24","754,03"
06.13.002,101,Almería,Fondón,12-02-2007,89,La Granadina,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Sierra de Gador,785,101,513.844,4.093.381,La Granadina,03-10-2007,"31,06","754,21"
06.13.002,101,Almería,Fondón,12-02-2007,89,La Granadina,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Sierra de Gador,785,101,513.844,4.093.381,La Granadina,12-11-2007,"30,57","754,70"
06.13.002,101,Almería,Fondón,12-02-2007,89,La Granadina,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Sierra de Gador,785,101,513.844,4.093.381,La Granadina,10-12-2007,"31,50","753,77"
06.13.002,101,Almería,Fondón,12-02-2007,89,La Granadina,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Sierra de Gador,785,101,513.844,4.093.381,La Granadina,02-01-2008,"31,98","753,29"
06.13.002,101,Almería,Fondón,12-02-2007,89,La Granadina,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Sierra de Gador,785,101,513.844,4.093.381,La Granadina,13-02-2008,"32,88","752,39"
06.13.002,101,Almería,Fondón,12-02-2007,89,La Granadina,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Sierra de Gador,785,101,513.844,4.093.381,La Granadina,10-03-2008,"34,12","751,15"
06.13.002,101,Almería,Fondón,12-02-2007,89,La Granadina,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Sierra de Gador,785,101,513.844,4.093.381,La Granadina,10-04-2008,"34,01","751,26"
06.13.002,101,Almería,Fondón,12-02-2007,89,La Granadina,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Sierra de Gador,785,101,513.844,4.093.381,La Granadina,12-05-2008,"32,42","752,85"
06.13.002,101,Almería,Fondón,12-02-2007,89,La Granadina,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Sierra de Gador,785,101,513.844,4.093.381,La Granadina,09-06-2008,"32,51","752,76"
06.13.002,101,Almería,Fondón,12-02-2007,89,La Granadina,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Sierra de Gador,785,101,513.844,4.093.381,La Granadina,08-07-2008,"32,02","753,25"
06.13.002,101,Almería,Fondón,12-02-2007,89,La Granadina,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Sierra de Gador,785,101,513.844,4.093.381,La Granadina,06-08-2008,"32,62","752,65"
06.13.002,101,Almería,Fondón,12-02-2007,89,La Granadina,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Sierra de Gador,785,101,513.844,4.093.381,La Granadina,09-09-2008,"33,59","751,68"
06.13.002,101,Almería,Fondón,12-02-2007,89,La Granadina,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Sierra de Gador,785,101,513.844,4.093.381,La Granadina,08-10-2008,"33,57","751,70"
06.13.002,101,Almería,Fondón,12-02-2007,89,La Granadina,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Sierra de Gador,785,101,513.844,4.093.381,La Granadina,08-11-2008,"33,42","751,85"
06.13.002,101,Almería,Fondón,12-02-2007,89,La Granadina,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Sierra de Gador,785,101,513.844,4.093.381,La Granadina,11-12-2008,"32,79","752,48"
06.13.002,101,Almería,Fondón,12-02-2007,89,La Granadina,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Sierra de Gador,785,101,513.844,4.093.381,La Granadina,07-01-2009,"32,29","752,98"
06.13.002,101,Almería,Fondón,12-02-2007,89,La Granadina,CUENCAS MEDITERRANEAS ANDALUZAS,CAMPO DE DALÍAS-SIERRA DE GÁDOR,Sierra de Gador,785,101,513.844,4.093.381,La Granadina,16-03-2009,"30,14","755,13"
