Piezómetros,,,,,,,,,,,,,,,,,
Cod. Piezómetro,Profundidad obra (m),Provincia,Municipio,Fecha Nivel,Nº Medidas,Nombre,Demarcación Hidrográfica,Masa de agua subterránea sobre la que se sitúa el piezómetro,Unidad Hidrogeológica,Cota terreno (msnm),Profundidad (m),Coordenada X (ETRS89),Coordenada Y (ETRS89),Descripción,Fecha,Nivel,Cota
06.13.005S,184,Almería,Berja,11-06-1987,193,Pz-1 Boca Salida Túnel,CUENCAS MEDITERRANEAS ANDALUZAS,OESTE DE SIERRA DE GÁDOR,Sierra de Gador,326,184,499.490,4.077.428,Pz-1 Boca Salida Túnel,11-06-1987,"152,99","173,26"
06.13.005S,184,Almería,Berja,11-06-1987,193,Pz-1 Boca Salida Túnel,CUENCAS MEDITERRANEAS ANDALUZAS,OESTE DE SIERRA DE GÁDOR,Sierra de Gador,326,184,499.490,4.077.428,Pz-1 Boca Salida Túnel,06-07-1987,"159,53","166,72"
06.13.005S,184,Almería,Berja,11-06-1987,193,Pz-1 Boca Salida Túnel,CUENCAS MEDITERRANEAS ANDALUZAS,OESTE DE SIERRA DE GÁDOR,Sierra de Gador,326,184,499.490,4.077.428,Pz-1 Boca Salida Túnel,07-09-1987,"152,89","173,36"
06.13.005S,184,Almería,Berja,11-06-1987,193,Pz-1 Boca Salida Túnel,CUENCAS MEDITERRANEAS ANDALUZAS,OESTE DE SIERRA DE GÁDOR,Sierra de Gador,326,184,499.490,4.077.428,Pz-1 Boca Salida Túnel,19-01-1988,"152,98","173,27"
06.13.005S,184,Almería,Berja,11-06-1987,193,Pz-1 Boca Salida Túnel,CUENCAS MEDITERRANEAS ANDALUZAS,OESTE DE SIERRA DE GÁDOR,Sierra de Gador,326,184,499.490,4.077.428,Pz-1 Boca Salida Túnel,25-03-1988,"151,73","174,52"
06.13.005S,184,Almería,Berja,11-06-1987,193,Pz-1 Boca Salida Túnel,CUENCAS MEDITERRANEAS ANDALUZAS,OESTE DE SIERRA DE GÁDOR,Sierra de Gador,326,184,499.490,4.077.428,Pz-1 Boca Salida Túnel,24-05-1988,"151,16","175,09"
06.13.005S,184,Almería,Berja,11-06-1987,193,Pz-1 Boca Salida Túnel,CUENCAS MEDITERRANEAS ANDALUZAS,OESTE DE SIERRA DE GÁDOR,Sierra de Gador,326,184,499.490,4.077.428,Pz-1 Boca Salida Túnel,21-09-1988,"152,12","174,13"
06.13.005S,184,Almería,Berja,11-06-1987,193,Pz-1 Boca Salida Túnel,CUENCAS MEDITERRANEAS ANDALUZAS,OESTE DE SIERRA DE GÁDOR,Sierra de Gador,326,184,499.490,4.077.428,Pz-1 Boca Salida Túnel,16-02-1989,"153,61","172,64"
06.13.005S,184,Almería,Berja,11-06-1987,193,Pz-1 Boca Salida Túnel,CUENCAS MEDITERRANEAS ANDALUZAS,OESTE DE SIERRA DE GÁDOR,Sierra de Gador,326,184,499.490,4.077.428,Pz-1 Boca Salida Túnel,28-03-1989,"153,89","172,36"
06.13.005S,184,Almería,Berja,11-06-1987,193,Pz-1 Boca Salida Túnel,CUENCAS MEDITERRANEAS ANDALUZAS,OESTE DE SIERRA DE GÁDOR,Sierra de Gador,326,184,499.490,4.077.428,Pz-1 Boca Salida Túnel,03-05-1989,"153,95","172,30"
06.13.005S,184,Almería,Berja,11-06-1987,193,Pz-1 Boca Salida Túnel,CUENCAS MEDITERRANEAS ANDALUZAS,OESTE DE SIERRA DE GÁDOR,Sierra de Gador,326,184,499.490,4.077.428,Pz-1 Boca Salida Túnel,14-06-1989,"154,24","172,01"
06.13.005S,184,Almería,Berja,11-06-1987,193,Pz-1 Boca Salida Túnel,CUENCAS MEDITERRANEAS ANDALUZAS,OESTE DE SIERRA DE GÁDOR,Sierra de Gador,326,184,499.490,4.077.428,Pz-1 Boca Salida Túnel,18-07-1989,"154,20","172,05"
06.13.005S,184,Almería,Berja,11-06-1987,193,Pz-1 Boca Salida Túnel,CUENCAS MEDITERRANEAS ANDALUZAS,OESTE DE SIERRA DE GÁDOR,Sierra de Gador,326,184,499.490,4.077.428,Pz-1 Boca Salida Túnel,05-09-1989,"154,13","172,12"
06.13.005S,184,Almería,Berja,11-06-1987,193,Pz-1 Boca Salida Túnel,CUENCAS MEDITERRANEAS ANDALUZAS,OESTE DE SIERRA DE GÁDOR,Sierra de Gador,326,184,499.490,4.077.428,Pz-1 Boca Salida Túnel,17-10-1989,"154,23","172,02"
06.13.005S,184,Almería,Berja,11-06-1987,193,Pz-1 Boca Salida Túnel,CUENCAS MEDITERRANEAS ANDALUZAS,OESTE DE SIERRA DE GÁDOR,Sierra de Gador,326,184,499.490,4.077.428,Pz-1 Boca Salida Túnel,16-11-1989,"154,28","171,97"
06.13.005S,184,Almería,Berja,11-06-1987,193,Pz-1 Boca Salida Túnel,CUENCAS MEDITERRANEAS ANDALUZAS,OESTE DE SIERRA DE GÁDOR,Sierra de Gador,326,184,499.490,4.077.428,Pz-1 Boca Salida Túnel,12-12-1989,"153,94","172,31"
06.13.005S,184,Almería,Berja,11-06-1987,193,Pz-1 Boca Salida Túnel,CUENCAS MEDITERRANEAS ANDALUZAS,OESTE DE SIERRA DE GÁDOR,Sierra de Gador,326,184,499.490,4.077.428,Pz-1 Boca Salida Túnel,16-01-1990,"152,30","173,95"
06.13.005S,184,Almería,Berja,11-06-1987,193,Pz-1 Boca Salida Túnel,CUENCAS MEDITERRANEAS ANDALUZAS,OESTE DE SIERRA DE GÁDOR,Sierra de Gador,326,184,499.490,4.077.428,Pz-1 Boca Salida Túnel,06-03-1990,"150,27","175,98"
06.13.005S,184,Almería,Berja,11-06-1987,193,Pz-1 Boca Salida Túnel,CUENCAS MEDITERRANEAS ANDALUZAS,OESTE DE SIERRA DE GÁDOR,Sierra de Gador,326,184,499.490,4.077.428,Pz-1 Boca Salida Túnel,25-04-1990,"149,20","177,05"
06.13.005S,184,Almería,Berja,11-06-1987,193,Pz-1 Boca Salida Túnel,CUENCAS MEDITERRANEAS ANDALUZAS,OESTE DE SIERRA DE GÁDOR,Sierra de Gador,326,184,499.490,4.077.428,Pz-1 Boca Salida Túnel,22-05-1990,"148,80","177,45"
06.13.005S,184,Almería,Berja,11-06-1987,193,Pz-1 Boca Salida Túnel,CUENCAS MEDITERRANEAS ANDALUZAS,OESTE DE SIERRA DE GÁDOR,Sierra de Gador,326,184,499.490,4.077.428,Pz-1 Boca Salida Túnel,03-07-1990,"148,40","177,85"
06.13.005S,184,Almería,Berja,11-06-1987,193,Pz-1 Boca Salida Túnel,CUENCAS MEDITERRANEAS ANDALUZAS,OESTE DE SIERRA DE GÁDOR,Sierra de Gador,326,184,499.490,4.077.428,Pz-1 Boca Salida Túnel,18-09-1990,"148,20","178,05"
06.13.005S,184,Almería,Berja,11-06-1987,193,Pz-1 Boca Salida Túnel,CUENCAS MEDITERRANEAS ANDALUZAS,OESTE DE SIERRA DE GÁDOR,Sierra de Gador,326,184,499.490,4.077.428,Pz-1 Boca Salida Túnel,23-10-1990,"148,15","178,10"
06.13.005S,184,Almería,Berja,11-06-1987,193,Pz-1 Boca Salida Túnel,CUENCAS MEDITERRANEAS ANDALUZAS,OESTE DE SIERRA DE GÁDOR,Sierra de Gador,326,184,499.490,4.077.428,Pz-1 Boca Salida Túnel,15-01-1991,"148,69","177,56"
06.13.005S,184,Almería,Berja,11-06-1987,193,Pz-1 Boca Salida Túnel,CUENCAS MEDITERRANEAS ANDALUZAS,OESTE DE SIERRA DE GÁDOR,Sierra de Gador,326,184,499.490,4.077.428,Pz-1 Boca Salida Túnel,12-02-1991,"148,89","177,36"
06.13.005S,184,Almería,Berja,11-06-1987,193,Pz-1 Boca Salida Túnel,CUENCAS MEDITERRANEAS ANDALUZAS,OESTE DE SIERRA DE GÁDOR,Sierra de Gador,326,184,499.490,4.077.428,Pz-1 Boca Salida Túnel,20-03-1991,"149,08","177,17"
06.13.005S,184,Almería,Berja,11-06-1987,193,Pz-1 Boca Salida Túnel,CUENCAS MEDITERRANEAS ANDALUZAS,OESTE DE SIERRA DE GÁDOR,Sierra de Gador,326,184,499.490,4.077.428,Pz-1 Boca Salida Túnel,23-04-1991,"149,33","176,92"
06.13.005S,184,Almería,Berja,11-06-1987,193,Pz-1 Boca Salida Túnel,CUENCAS MEDITERRANEAS ANDALUZAS,OESTE DE SIERRA DE GÁDOR,Sierra de Gador,326,184,499.490,4.077.428,Pz-1 Boca Salida Túnel,21-05-1991,"149,50","176,75"
